iter	Passed	Remaining
820	2873	626
821	2877	623
822	2881	619
823	2885	616
824	2889	612
825	2893	609
826	2897	606
827	2902	602
828	2905	599
829	2909	595
830	2917	593
831	2921	590
832	2926	586
833	2931	583
834	2936	580
835	2939	576
836	2943	573
837	2947	569
838	2951	566
839	2955	562
840	2959	559
841	2963	556
842	2966	552
843	2969	548
844	2973	545
845	2977	542
846	2981	538
847	2984	534
848	2988	531
849	2992	528
850	2995	524
851	2999	521
852	3004	517
853	3008	514
854	3011	510
855	3015	507
856	3018	503
857	3022	500
858	3026	496
859	3029	493
860	3033	489
861	3037	486
862	3041	482
863	3045	479
864	3049	475
865	3053	472
866	3056	468
867	3060	465
868	3063	461
869	3067	458
870	3071	454
871	3074	451
872	3078	447
873	3082	444
874	3085	440
875	3089	437
876	3092	433
877	3096	430
878	3100	426
879	3103	423
880	3107	419
881	3110	416
882	3114	412
883	3118	409
884	3122	405
885	3126	402
886	3130	398
887	3134	395
888	3138	391
889	3142	388
890	3145	384
891	3149	381
892	3153	377
893	3157	374
894	3161	370
895	3165	367
896	3169	363
897	3172	360
898	3176	356
899	3179	353
900	3183	349
901	3186	346
902	3190	342
903	3193	339
904	3197	335
905	3200	332
906	3204	328
907	3207	325
908	3211	321
909	3214	317
910	3218	314
911	3221	310
912	3225	307
913	3228	303
914	3231	300
915	3235	296
916	3238	293
917	3242	289
918	3245	286
919	3249	282
920	3252	279
921	3256	275
922	3259	271
923	3262	268
924	3265	264
925	3268	261
926	3271	257
927	3274	254
928	3277	250
929	3279	246
930	3282	243
931	3286	239
932	3289	236
933	3292	232
934	3295	229
935	3298	225
936	3301	221
937	3305	218
938	3308	214
939	3311	211
940	3314	207
941	3318	204
942	3321	200
943	3324	197
944	3328	193
945	3331	190
946	3334	186
947	3338	183
948	3341	179
949	3344	176
950	3347	172
951	3351	168
952	3354	165
953	3357	161
954	3361	158
955	3363	154
956	3366	151
957	3369	147
958	3372	144
959	3375	140
960	3378	137
961	3381	133
962	3384	130
963	3387	126
964	3390	122
965	3393	119
966	3396	115
967	3399	112
968	3401	108
969	3404	105
970	3408	101
971	3410	98
972	3413	94
973	3416	91
974	3420	87
975	3423	84
976	3426	80
977	3429	77
978	3432	73
979	3436	70
980	3439	66
981	3442	63
982	3445	59
983	3448	56
984	3451	52
985	3454	49
986	3457	45
987	3459	42
988	3463	38
989	3466	35
990	3468	31
991	3471	27
992	3474	24
993	3477	20
994	3481	17
995	3484	13
996	3487	10
997	3489	6
998	3492	3
999	3495	0
